"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9241333007813","99.966064453125","99.9903564453125","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Africa Eastern and Southern","AFE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.6841276570348","53.2409538646955","55.3534973631818","56.3058671496892","57.0410659787462","58.1128514432587","58.6647352261387","60.8306832705346","59.0051894666704","61.3419709913117","63.1439493303101","66.0404383387258","66.8208407515959","66.9583361265538","66.1468335570583","66.9364788737164","68.9778382203507","70.7717296019991","71.6924267925119","73.1648628715299","73.7756752378649","","",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1334686279297","73.5990371704102","75.0632781982422","76.5331344604492","78.0155563354492","74","81.0437698364258","82.5908203125","89.9000015258789","85.7244720458984","82.8000030517578","86.5677795410156","95","92.2590484619141","98.6999969482422","92.5","99.5","99.5","99.6260223388672","99.5","99.5","","",
"Africa Western and Central","AFW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.2783242913483","76.3298096678448","76.1319446292734","73.0527166820414","72.4605357814795","73.0811624483064","72.8202701502269","71.4725793069391","72.209449216152","72.233568525118","73.2373683431592","73.2228671727889","73.9126288576611","74.6149947177444","76.1286469748537","75.5781794121797","75.3973150171391","74.208108096571","79.3252892546053","78.6307853908992","78.7770950165741","79.4686369935112","78.1904196619451","81.5131382289092","","","","83.1654023405085","","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.8176040649414","30","47.5846290588379","48.9730987548828","50.3741302490234","51.7946701049805","53.2395629882813","66.0999984741211","61.310001373291","57.6760940551758","73.7185668945313","82.5","70.4634704589844","68.662223815918","51","64","67.9733963012695","69.4111709594727","65.2699966430664","72.2771835327148","73.7089157104492","","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9000015258789","100","100","100","100","100","100","100","100","","",
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.0214395593964","94.4996168900401","94.5018527290585","94.686489173512","94.7817323704925","94.729624641838","95.4884081850118","95.2379762526589","94.5808382859326","95.2150428450004","96.9745987923039","97.1046826973567","97.0835390596917","97.3361373048721","96.9475952752191","97.0808921795693","97.3068459978303","97.5126964409378","97.6016735197308","98.2821665309748","97.5201775603857","","",
"United Arab Emirates","ARE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1390151977539","94.4131164550781","94.6866989135742","94.9571228027344","95.2212295532227","95.4758529663086","95.7178421020508","95.9440383911133","96.1512680053711","96.3380737304688","96.475212097168","96.6375961303711","96.7986602783203","96.9653396606445","97.1445846557617","97.3433380126953","97.5664443969727","97.8103103637695","98.0692672729492","98.3376083374023","99.091423034668","99.416633605957","99.6723709106445","99.7891464233398","100","99.8606872558594","99.9421310424805","100","100","100","100","","",
"Armenia","ARM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0999984741211","100","99.2813949584961","99.2561798095703","99.2435302734375","99.9000015258789","99.2816009521484","99.3335800170898","99.400634765625","99.4770889282227","99.6999969482422","99.6354293823242","99.7906723022461","99.4100036621094","99.6600036621094","100","99.8000030517578","99.8000030517578","99.9000015258789","100","99.9594116210938","","",
"American Samoa","ASM","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","99.9979400634766","100","99.9586029052734","99.9221267700195","100","100","100","100","99.9451599121094","99.9745712280273","99.9926147460938","100","100","100","100","100","100","100","100","100","","",
"Australia","AUS","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Austria","AUT","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Azerbaijan","AZE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5551452636719","99.7049255371094","99.5657806396484","100","99.5542678833008","99.5638885498047","99.5930099487305","99.8000030517578","99.7207336425781","99.81005859375","99.9008560180664","99.9653244018555","99.9000015258789","100","100","100","100","100","100","100","100","100","","",
"Burundi","BDI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6","50.5398025512695","50.6311683654785","50.7661781311035","50.8998641967773","51.0391693115234","51.1910362243652","45.049503326416","51.5581398010254","51.7746353149414","39.5999984741211","52.2471771240234","49","52.7345542907715","58.5","52.4000015258789","52.0999984741211","57.1261405944824","58.6016998291016","61.7999992370605","61.429931640625","62.5940437316895","63.6784400939941","","",
"Belgium","BEL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
